TimeStamp;Relative Time;srcIP;dstIP;srcPort;dstPort;ipLen;len;fmt;uType;asduType;numix;cot;oa;addr
17:15:55.54;5.631502000;192.168.11.248;192.168.11.111;2404;56693;555;18;0x00000000;;123;1;13;0;65535
17:15:55.54;5.631889000;192.168.11.111;192.168.11.248;56693;2404;46;4;0x00000001;;;;;;
17:15:55.54;5.632405000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;124;1;13;0;65535
17:15:55.54;5.632813000;192.168.11.248;192.168.11.111;2404;56693;60;18;0x00000000;;123;1;13;0;65535
17:15:55.54;5.633017000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;124;1;13;0;65535
17:15:55.54;5.633331000;192.168.11.248;192.168.11.111;2404;56693;46;4;0x00000001;;;;;;
17:15:58.78;8.877148000;192.168.11.248;192.168.11.111;2404;56693;67;25;0x00000000;;36;1;3;0;65535
17:16:01.40;11.488960000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;122;1;13;0;65535
17:16:01.46;11.554056000;192.168.11.248;192.168.11.111;2404;56693;61;19;0x00000000;;120;1;13;0;65535
17:16:01.46;11.554315000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;122;1;13;0;65535
17:16:01.46;11.554652000;192.168.11.248;192.168.11.111;2404;56693;62;20;0x00000000;;121;1;13;0;65535
17:16:01.51;11.606184000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;122;1;13;0;65535
17:16:01.51;11.607305000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:01.51;11.607305000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:01.51;11.607307000;192.168.11.248;192.168.11.111;2404;56693;73;57;0x00000000;;125;1;13;0;65535
17:16:01.51;11.607614000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:01.51;11.607614000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:01.51;11.607615000;192.168.11.248;192.168.11.111;2404;56693;73;57;0x00000000;;125;1;13;0;65535
17:16:01.51;11.607949000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:01.51;11.607949000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:01.52;11.608309000;192.168.11.248;192.168.11.111;2404;56693;73;57;0x00000000;;125;1;13;0;65535
17:16:01.52;11.608309000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:01.52;11.608309000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:01.52;11.608658000;192.168.11.248;192.168.11.111;2404;56693;73;57;0x00000000;;125;1;13;0;65535
17:16:01.52;11.608763000;192.168.11.111;192.168.11.248;56693;2404;46;4;0x00000001;;;;;;
17:16:01.52;11.609482000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:01.52;11.609482000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:01.73;11.824531000;192.168.11.248;192.168.11.111;2404;56693;555;57;0x00000000;;125;1;13;0;65535
17:16:01.73;11.824531000;192.168.11.248;192.168.11.111;2404;56693;555;253;0x00000000;;125;1;13;0;65535
